1,1,31,exp_31,99.78917779339423,
2,1,31,exp_31,73.5769501054111,
3,1,31,exp_31,10.049191848208011,
4,1,31,exp_31,44.48348559381588,
1,2,37,exp_37,56.0599182932365,
2,2,37,exp_37,99.90921470721743,
3,2,37,exp_37,10.758057194734453,
4,2,37,exp_37,60.553790285973676,
1,3,38,exp_38,31.368993653671808,
2,3,38,exp_38,56.48232094288305,
3,3,38,exp_38,99.81867633726202,
4,3,38,exp_38,73.25475974614687,
1,4,39,exp_39,1.901720258401684,
2,4,39,exp_39,3.034042244320244,
3,4,39,exp_39,0.2903389707483487,
4,4,39,exp_39,99.89838136023808,
