1,1,31,exp_31,99.78917779339423,
2,1,31,exp_31,94.58889669711877,
3,1,31,exp_31,51.159522136331695,
4,1,31,exp_31,59.381588193956425,
1,2,37,exp_37,55.515206536541086,
2,2,37,exp_37,99.90921470721743,
3,2,37,exp_37,49.477984566500226,
4,2,37,exp_37,73.30912392192465,
1,3,38,exp_38,32.139619220308255,
2,3,38,exp_38,31.640979147778786,
3,3,38,exp_38,99.81867633726202,
4,3,38,exp_38,73.79873073436083,
1,4,39,exp_39,1.458953328010452,
2,4,39,exp_39,4.238948972925892,
3,4,39,exp_39,1.8581694127894317,
4,4,39,exp_39,99.89112288596938,
