1,1,31,exp_31,99.9648629655657,
2,1,31,exp_31,97.35301007261654,
3,1,31,exp_31,86.82361208713985,
4,1,31,exp_31,93.04286718200984,
1,2,37,exp_37,90.777727341504,
2,2,37,exp_37,99.97730367680435,
3,2,37,exp_37,88.3567862006355,
4,2,37,exp_37,94.07625964593736,
1,3,38,exp_38,84.11906920519795,
2,3,38,exp_38,80.87790873375641,
3,3,38,exp_38,99.96222423692959,
4,3,38,exp_38,87.57177394983378,
1,4,39,exp_39,45.43804892211657,
2,4,39,exp_39,45.382400619389806,
3,4,39,exp_39,45.72475865573056,
4,4,39,exp_39,99.98185381432822,
