1,1,31,exp_31,99.9648629655657,
2,1,37,exp_31,93.83930662918716,
3,1,38,exp_31,71.84352307331928,
4,1,39,exp_31,87.35066760365426,
1,2,31,exp_37,83.7948252383114,
2,2,37,exp_37,99.98486911786956,
3,2,38,exp_37,69.95006808896959,
4,2,39,exp_37,92.61612952035104,
1,3,31,exp_38,83.81686310063463,
2,3,37,exp_38,73.99516470232699,
3,3,38,exp_38,99.96977938954366,
4,3,39,exp_38,80.3112722877002,
1,4,31,exp_39,59.33681740098231,
2,4,37,exp_39,56.83506326970071,
3,4,38,exp_39,57.99520940698265,
4,4,39,exp_39,99.98306356003968,
