1,1,31,exp_31,99.99341180604358,
2,1,31,exp_31,99.32141602248771,
3,1,31,exp_31,97.27797786366831,
4,1,31,exp_31,97.95436577652846,
1,2,37,exp_37,98.69708919655015,
2,2,37,exp_37,99.99716295960054,
3,2,37,exp_37,97.05089650476623,
4,2,37,exp_37,98.70276327734906,
1,3,38,exp_38,98.24342701722574,
2,3,38,exp_38,97.5825872620127,
3,3,38,exp_38,99.99433363553943,
4,3,38,exp_38,98.38579442429737,
1,4,39,exp_39,96.2788978006823,
2,4,39,exp_39,96.3770006169703,
3,4,39,exp_39,95.343348515642,
4,4,39,exp_39,99.99682441750744,
